sample_id	tissue	local_file_name	expected_relative_path	source_project	source_project_uuid	source_project_url	library_preparation	sequencing_platform	sha256	size_bytes
BM1	adult bone marrow	MantonBM1_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/BoneMarrow/Raw/MantonBM1_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	651580a83906ad1f6af47c23a3387c156357fa70e491f20db01556c6d0ffcc26	25220493
BM2	adult bone marrow	MantonBM2_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/BoneMarrow/Raw/MantonBM2_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	c331eb7e66903de002fdef3eaf5768fb729201921cde450fcfba9dd221233899	25397397
BM3	adult bone marrow	MantonBM3_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/BoneMarrow/Raw/MantonBM3_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	a84d9405e78ccbde5c1ab0fa683f652e3d800aec102599a65a01bce2365d487a	24555775
BM4	adult bone marrow	MantonBM4_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/BoneMarrow/Raw/MantonBM4_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	68eff77870cb11082e9798698823945e7f35bc080df827a4287f3ccb15c1f607	25088850
BM5	adult bone marrow	MantonBM5_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/BoneMarrow/Raw/MantonBM5_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	aa3dae2781cf0e91b3d2d13fdf71c0f716c88cc8368f782e8e118d3c46b04d36	26515488
BM6	adult bone marrow	MantonBM6_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/BoneMarrow/Raw/MantonBM6_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	3e45c05c26cb13659173e30155316460f18cc1e9c6b5c7e09cadc4776077197a	25465071
BM7	adult bone marrow	MantonBM7_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/BoneMarrow/Raw/MantonBM7_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	6336da45b9a24a17cf833000e6b2cf654bf98f8180cac4345c702aa18eb828c3	24480800
BM8	adult bone marrow	MantonBM8_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/BoneMarrow/Raw/MantonBM8_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	158d1d86540c2f0a99f3b597d1ad9308b6dcce0b921f65226a31a7208546293b	26046215
BL1	adult peripheral blood	MantonBL1_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/Blood/Raw/MantonBL1_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	c2c6ad786177db758b6e48d94a68dc30891bf8c8b5321e99058addd890401048	23833021
BL2	adult peripheral blood	MantonBL2_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/Blood/Raw/MantonBL2_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	97aab18cdd9b7d38f60044f9021aa074d9898d45e65f78ceac6cebf8d2e2d6ce	23644294
BL3	adult peripheral blood	MantonBL3_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/Blood/Raw/MantonBL3_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	be33ce6d09d89a85462199573fa1421b071f8761a0a55ce0221e2846502fe207	24185779
BL4	adult peripheral blood	MantonBL4_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/Blood/Raw/MantonBL4_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	5bb90e42cedb61db56c7b45f4f1b06b2e2c656bd5ee032d785d9e9e8c4d0d8f2	24413069
BL5	adult peripheral blood	MantonBL5_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/Blood/Raw/MantonBL5_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	f7cbc7ffe989732268b25e159f3ecdb785347fd0ad841c8940aecf1cbb07f766	25000655
BL6	adult peripheral blood	MantonBL6_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/Blood/Raw/MantonBL6_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	d60d343fca23a2f00540b5bc0ceb225028fdfd79830991957c2693cf98aee58c	24901129
BL7	adult peripheral blood	MantonBL7_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/Blood/Raw/MantonBL7_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	322c6fbbe065a2ff16f4688f000cbf9227239d573dfd06831fe181ac1917b6ba	25527961
BL8	adult peripheral blood	MantonBL8_HiSeq_9_raw_feature_bc_matrix.h5	Inputs/Blood/Raw/MantonBL8_HiSeq_9_raw_feature_bc_matrix.h5	A single cell immune cell atlas of human hematopoietic system	cc95ff89-2e68-4a08-a234-480eca21ce79	https://explore.data.humancellatlas.org/projects/cc95ff89-2e68-4a08-a234-480eca21ce79	10x Genomics 3' v2	Illumina HiSeq X	ae058b212b83e29352fc25b30fe8283d7f31468e4f7f6177d16e2ba506daaff5	24578266
